method,parameter,value
rejection,A,6.354298631841223
sabc_4d,A,6.012701540099131
sabc_1d,A,6.052816817723075
loclin,A,0.846423144391707
neuralnet,A,1.7178168899075061
lm,A,0.900909269047694
rf,A,1.9255387229159469
rfboot,A,0.9825902837556473
loess,A,0.8153919908776239
average,A,11.332997422976195
rejection,B,8.563546398656628
sabc_4d,B,5.9539819599365345
sabc_1d,B,5.582270064740535
loclin,B,7.295047128985405
neuralnet,B,2.821372870337966
lm,B,4.508846569551518
rf,B,5.687078409657068
rfboot,B,4.064161439342974
loess,B,3.8834703371452046
average,B,11.60521310204587
rejection,g,9.246706636918242
sabc_4d,g,7.156885702146683
sabc_1d,g,7.121907223042939
loclin,g,6.967754178352717
neuralnet,g,3.868652317753832
lm,g,7.759174819525508
rf,g,8.242440273084025
rfboot,g,7.933115139923077
loess,g,7.295790249999075
average,g,11.599515566630016
rejection,k,3.7644590662921305
sabc_4d,k,5.998802559337857
sabc_1d,k,6.573857439415343
loclin,k,2.0253601676895414
neuralnet,k,1.4044857424717183
lm,k,7.904501157342702
rf,k,2.251214631325751
rfboot,k,1.5835117557514524
loess,k,4.992504801610817
average,k,11.542052646663343
