method,parameter,value
rejection,theta1,27.184062962990197
sabc_4d,theta1,20.297374512913876
sabc_1d,theta1,20.128854335501966
loclin,theta1,6014137445224476e25
neuralnet,theta1,2.829397117476135
lm,theta1,16.842495617888865
rf,theta1,17.55506752572865
rfboot,theta1,17.86387471502775
loess,theta1,16.648867728259987
average,theta1,52.69859197181671
rejection,theta2,13.33586793568768
sabc_4d,theta2,12.284250591487643
sabc_1d,theta2,12.077708364739525
loclin,theta2,49288305743361673e10
neuralnet,theta2,1.227455751568853
lm,theta2,11.769795647625612
rf,theta2,10.466309146144988
rfboot,theta2,11.318361464233995
loess,theta2,10.715029076218082
average,theta2,23.303413988343806
