method,parameter,value
rejection,theta1,26.292889472627134
sabc_4d,theta1,22.48126677164944
sabc_1d,theta1,19.377054528006195
loclin,theta1,4572835910652769e12
neuralnet,theta1,0.09567743597460444
lm,theta1,16.725420746869013
rf,theta1,19.394266174997135
rfboot,theta1,18.7488659239023
loess,theta1,16.161030115416377
average,theta1,54.32101938709273
rejection,theta2,13.035272198218701
sabc_4d,theta2,13.141811614314577
sabc_1d,theta2,11.81941223425677
loclin,theta2,343422998225802240
neuralnet,theta2,0.059601474506975886
lm,theta2,11.876717659141182
rf,theta2,10.72532012594549
rfboot,theta2,11.322214264262833
loess,theta2,10.699653827944843
average,theta2,23.35403071107356
