method,parameter,value
rejection,a,4.775852298556641
sabc_4d,a,3.4393160385331143
sabc_1d,a,3.4294323349818123
loclin,a,1.0211453334045766
neuralnet,a,0.7955062899885419
lm,a,2.198081547184805
rf,a,1.0235222647605462
rfboot,a,0.9269531243186296
loess,a,1.3601850885373257
average,a,11.197533972249168
rejection,b,7.8161536363936035
sabc_4d,b,6.007958399078856
sabc_1d,b,7.641687059812341
loclin,b,4.2565946584301155
neuralnet,b,2.7161881356102646
lm,b,8.761107440184286
rf,b,3.4889437370857217
rfboot,b,5.523763938023638
loess,b,6.305865053146255
average,b,11.327830615690019
