method,parameter,value
rejection,a,4.482069630890526
sabc_4d,a,3.1904283931661865
sabc_1d,a,3.0269004278453533
loclin,a,1228716.7388283592
neuralnet,a,0.1436016827498712
lm,a,2.0285468686591495
rf,a,0.11545690518976189
rfboot,a,0.10631167266592866
loess,a,0.8680753266765294
average,a,11.197533972249168
rejection,b,7.41803975006789
sabc_4d,b,5.657939777483093
sabc_1d,b,6.842512913297956
loclin,b,1.2774327673292842
neuralnet,b,0.1866524322884363
lm,b,8.358219727851854
rf,b,0.5733934679889118
rfboot,b,0.6187705852492036
loess,b,5.481966722389371
average,b,11.327830615690019
