method,parameter,value
rejection,theta1,3.8093677122122864
sabc_4d,theta1,3.5160849236298084
sabc_1d,theta1,3.7033761631447346
loclin,theta1,3.397603476625005
neuralnet,theta1,3.3615111136388887
lm,theta1,4.47730270206298
rf,theta1,3.141444119449082
rfboot,theta1,4.882336496716458
loess,theta1,4.471054266927304
average,theta1,5.644207858737894
rejection,theta2,3.4571838012784073
sabc_4d,theta2,3.9035405532787038
sabc_1d,theta2,3.4906393788001204
loclin,theta2,3.205288350749055
neuralnet,theta2,3.2425829680909724
lm,theta2,4.444953697103548
rf,theta2,2.958116957764386
rfboot,theta2,4.85140248919394
loess,theta2,4.44298200928419
average,theta2,5.534464127984624
