method,parameter,value
rejection,theta1,3.772345060427879
sabc_4d,theta1,3.507260883178382
sabc_1d,theta1,3.6080187100436105
loclin,theta1,3.534811708230824
neuralnet,theta1,3.322116849287833
lm,theta1,4.474532025151822
rf,theta1,3.257700133015725
rfboot,theta1,4.991498894429655
loess,theta1,4.485121635621186
average,theta1,5.5531687372583365
rejection,theta2,3.4824397044367315
sabc_4d,theta2,3.737573318546531
sabc_1d,theta2,3.4439875040651438
loclin,theta2,3.524262683055503
neuralnet,theta2,3.3119304685935615
lm,theta2,4.52355646714478
rf,theta2,3.07901655259532
rfboot,theta2,4.852105526505751
loess,theta2,4.478325904218358
average,theta2,5.686554420002476
