method,parameter,value
rejection,ma1,2.0719618687944203
sabc_4d,ma1,1.530818799721594
sabc_1d,ma1,1.6162856515705402
loclin,ma1,1.2134154509267685
neuralnet,ma1,0.5840633698558584
lm,ma1,1.8638597581101217
rf,ma1,1.331490412624832
rfboot,ma1,1.7152306529329753
loess,ma1,1.7002115717152
average,ma1,2.893643208052651
rejection,ma2,1.3978250878304612
sabc_4d,ma2,0.9079468606198416
sabc_1d,ma2,1.0612019165863982
loclin,ma2,0.6705762497208225
neuralnet,ma2,0.40112364189504984
lm,ma2,1.5913477707124837
rf,ma2,0.7823505864819417
rfboot,ma2,0.7433687796363772
loess,ma2,0.7508755579529117
average,ma2,2.1471754918576096
