method,parameter,value
rejection,ma1,2.0510347958317956
sabc_4d,ma1,1.52682656179104
sabc_1d,ma1,1.6074002993957697
loclin,ma1,1.213062392343507
neuralnet,ma1,0.18857227879758565
lm,ma1,1.9197509520963307
rf,ma1,1.5920200982613857
rfboot,ma1,1.8172610236063236
loess,ma1,1.7410469293736708
average,ma1,2.8989637059874607
rejection,ma2,1.3786524612901916
sabc_4d,ma2,0.8854097848793397
sabc_1d,ma2,1.0613880785943288
loclin,ma2,0.6845485327388405
neuralnet,ma2,0.20484448932458763
lm,ma2,1.6046472155026517
rf,ma2,0.9384823557531738
rfboot,ma2,0.7606112527411621
loess,ma2,0.7778896403970598
average,ma2,2.147957732083124
