method,parameter,value
rejection,mu,4.048895056824629
sabc_4d,mu,4.020421156458639
sabc_1d,mu,4.014837317796541
loclin,mu,2.2012334616037506
neuralnet,mu,2.258093422049903
lm,mu,2.999243376218
rf,mu,2.211946680981456
rfboot,mu,3.043153958012485
loess,mu,2.852058889984679
average,mu,11.518197939682175
rejection,sigma,3.8105255680461414
sabc_4d,sigma,3.68401547479406
sabc_1d,sigma,3.7770640404273523
loclin,sigma,1.9693301006161186
neuralnet,sigma,2.0212757957266008
lm,sigma,2.7559932131777907
rf,sigma,1.914288408769353
rfboot,sigma,2.6023995484203883
loess,sigma,2.4254177187266843
average,sigma,11.181308824212683
