method,parameter,value
rejection,mu,3.84534200085448
sabc_4d,mu,3.728296061689686
sabc_1d,mu,3.7218688197598793
loclin,mu,2.1042962612262905
neuralnet,mu,2.074091475275478
lm,mu,2.922898973836215
rf,mu,2.469792296527046
rfboot,mu,3.0092593399453773
loess,mu,2.7972756314777505
average,mu,11.332997422976195
rejection,sigma,3.808215267548043
sabc_4d,sigma,3.6249066213485803
sabc_1d,sigma,3.6867682074332406
loclin,sigma,1.9320069523773735
neuralnet,sigma,1.977341571363162
lm,sigma,2.8030661844344684
rf,sigma,2.228657667854504
rfboot,sigma,2.7498706834478157
loess,sigma,2.4480010495111575
average,sigma,11.489160971025411
