method,parameter,value
rejection,mu,6.5942833657585425
sabc_4d,mu,4.027834448475321
loclin,mu,2.1629317846378475
neuralnet,mu,6.013786503861857
lm,mu,3.046883415269196
rf,mu,4.056510346682206
loess,mu,2.9040721825075195
rfboot,mu,3.0290965816297986
average,mu,11.51879154844468
rejection,sigma,6.33655279463391
sabc_4d,sigma,3.6867821473605273
loclin,sigma,1.960423673790036
neuralnet,sigma,5.737985744056094
lm,sigma,2.835100101977834
rf,sigma,3.6015281908418437
loess,sigma,2.4878305640691694
rfboot,sigma,2.5925900241695654
average,sigma,11.181876503479137
