method,parameter,value
rejection,mu,6.352892962780779
sabc_4d,mu,3.7528467926400246
loclin,mu,2.2150683794162958
neuralnet,mu,5.388188296711548
lm,mu,3.085489157770589
rf,mu,5.516128578168897
loess,mu,2.904896123798921
rfboot,mu,2.9597475403757625
average,mu,11.332997422976195
rejection,sigma,6.464761765053841
sabc_4d,sigma,3.6024357944800367
loclin,sigma,1.8723888906870718
neuralnet,sigma,5.449381121342134
lm,sigma,2.7982064271288416
rf,sigma,4.926223888640416
loess,sigma,2.463038403020822
rfboot,sigma,2.568367235087746
average,sigma,11.489160971025411
