method,parameter,value
rejection,mu,4.560224956234099
sabc_4d,mu,4.730854015367841
sabc_1d,mu,4.601662707406812
loclin,mu,3.311239902814188
neuralnet,mu,2.5076566101692257
lm,mu,6.1956838502293365
rf,mu,15.860141303517322
rfboot,mu,121.66853758176947
loess,mu,5.251427548186822
average,mu,457.54207538597234
rejection,sigma2,2.6333037054497925
sabc_4d,sigma2,2.5743316952426043
sabc_1d,sigma2,2.5982075061961587
loclin,sigma2,0.775160697196694
neuralnet,sigma2,0.7927193721145736
lm,sigma2,0.7837024104709832
rf,sigma2,0.8569089529620516
rfboot,sigma2,0.8518388407776362
loess,sigma2,0.7833165054357935
average,sigma2,8.632458766728671
