method,parameter,value
rejection,mean,5.076159929905924
sabc_4d,mean,5.051903549458076
sabc_1d,mean,5.351604450495122
loclin,mean,14.592426402503458
neuralnet,mean,1.4658300070850518
lm,mean,4.693092355544558
rf,mean,6.929073065780393
loess,mean,4.678068625134904
rfboot,mean,5.498997105527576
average,mean,11.289008369405979
rejection,sd,4.5238515419565415
sabc_4d,sd,4.632881006593192
sabc_1d,sd,7.961470505600525
loclin,sd,5.788608519488679
neuralnet,sd,0.5640835507774635
lm,sd,8.625428482841345
rf,sd,6.228899544732161
loess,sd,4.74744736054993
rfboot,sd,4.061746124181902
average,sd,10.228523532574984
