method,parameter,value
rejection,mean,4.822081563396192
sabc_4d,mean,5.0780902326106085
sabc_1d,mean,5.181729819829761
loclin,mean,6.598190978824128
neuralnet,mean,0.1596728592472235
lm,mean,4.4857893408880365
rf,mean,7.237201224295747
loess,mean,4.680355063492894
rfboot,mean,5.592621641113173
average,mean,11.577300130106506
rejection,sd,4.266931723499557
sabc_4d,sd,4.821230246499935
sabc_1d,sd,7.582971096511041
loclin,sd,4.358874043073566
neuralnet,sd,0.059812657746541605
lm,sd,8.959945899834054
rf,sd,6.721406893169818
loess,sd,4.93608291891243
rfboot,sd,4.349528939889524
average,sd,10.106773922969639
