method,parameter,value
rejection,weight1,46.18871919732047
sabc_4d,weight1,45.961040703303844
loclin,weight1,43.85290426643617
neuralnet,weight1,43.912883245497184
lm,weight1,52.51418284082013
rf,weight1,34.898315542509046
rfboot,weight1,67.24889130797297
loess,weight1,53.52237780060924
average,weight1,78.96569307467917
rejection,weight2,46.17026298242084
sabc_4d,weight2,45.91700283739071
loclin,weight2,43.953909932784136
neuralnet,weight2,44.04338563498399
lm,weight2,52.77286579684808
rf,weight2,34.957402068379565
rfboot,weight2,67.19771041931597
loess,weight2,53.75263029460078
average,weight2,79.19863502236677
