method,parameter,value
rejection,weight1,46.92383694308135
sabc_4d,weight1,45.92930919555049
loclin,weight1,45.187654611967616
neuralnet,weight1,45.12924218903669
lm,weight1,53.962791346269135
rf,weight1,36.26127480234876
rfboot,weight1,72.18869278067248
loess,weight1,55.048940791010125
average,weight1,78.94730530985103
rejection,weight2,47.11317482154295
sabc_4d,weight2,46.13713376408569
loclin,weight2,45.51811224145316
neuralnet,weight2,45.51214925870867
lm,weight2,54.21683623179093
rf,weight2,36.332765642367065
rfboot,weight2,72.65075563748093
loess,weight2,55.46833315220071
average,weight2,79.53658583704537
