method,parameter,value
rejection,mean,47.24511244380712
sabc_4d,mean,47.0121626749282
sabc_1d,mean,46.9946742224418
loclin,mean,48.19071867719181
neuralnet,mean,47.63275770977961
lm,mean,47.059869076108114
rf,mean,45.14614284117846
rfboot,mean,53.94821196820718
loess,mean,47.56749751956497
average,mean,56.14381821743767
rejection,sd,23.548989418137438
sabc_4d,sd,23.4213163153223
sabc_1d,sd,23.41914574853552
loclin,sd,23.89816581225574
neuralnet,sd,23.53723154040187
lm,sd,23.422516626578314
rf,sd,22.463263348747773
rfboot,sd,26.794765983233383
loess,sd,23.691049595767684
average,sd,28.248718003962555
