method,parameter,value
rejection,mean,46.69535876354412
sabc_4d,mean,45.71238134963997
sabc_1d,mean,45.74223359241593
loclin,mean,49.879579362970816
neuralnet,mean,45.55264345055397
lm,mean,47.66194180705424
rf,mean,44.45114496993832
rfboot,mean,55.02425983486636
loess,mean,48.431292990551995
average,mean,56.88777881117696
rejection,sd,23.248489883004453
sabc_4d,sd,22.851687438371357
sabc_1d,sd,22.891011786956923
loclin,sd,24.658434306932623
neuralnet,sd,23.061092819377368
lm,sd,23.794002977533314
rf,sd,22.409345715027186
rfboot,sd,27.599138606988895
loess,sd,24.079751421845575
average,sd,28.78605360787178
