method,parameter,value
rejection,sigma,0.01881778194062612
sabc_4d,sigma,0.018538501816836653
sabc_1d,sigma,0.018592761065720245
loclin,sigma,0.02176752691404793
neuralnet,sigma,0.017975994524192237
lm,sigma,0.019634583268329637
rf,sigma,0.018579967222268214
rfboot,sigma,0.02235091934834484
loess,sigma,0.0190938224379124
average,sigma,0.022709581989533795
rejection,beta,0.06182538240094754
sabc_4d,beta,0.07625548196306585
sabc_1d,beta,0.07517502029440751
loclin,beta,0.010272993100824709
neuralnet,beta,0.01825678693792861
lm,beta,0.026780061598105403
rf,beta,0.037277589833731785
rfboot,beta,0.031823809469186
loess,beta,0.011936999264832921
average,beta,0.12075379037956191
rejection,delta,0.004676914460830478
sabc_4d,delta,0.0040248485761893065
sabc_1d,delta,0.004145523237573936
loclin,delta,0.002978351107316024
neuralnet,delta,0.0023914672816433046
lm,delta,0.004006146909478256
rf,delta,0.004599818707282485
rfboot,delta,0.005524343521001693
loess,delta,0.0036100133888884757
average,delta,0.005625481786276578
rejection,eta,0.37433552729057745
sabc_4d,eta,0.3627356045315618
sabc_1d,eta,0.3635974315386796
loclin,eta,0.37046950491157515
neuralnet,eta,0.2994802293749552
lm,eta,0.38032624098225876
rf,eta,0.36630503531513264
rfboot,eta,0.39792055023641726
loess,eta,0.3755956787734997
average,eta,0.44709463699110724
rejection,mu,0.05642543896976039
sabc_4d,mu,0.05542391472440352
sabc_1d,mu,0.05557831768680407
loclin,mu,0.05960859952525366
neuralnet,mu,0.052014307143751305
lm,mu,0.058916675381164914
rf,mu,0.05561378845650558
rfboot,mu,0.06553386560896539
loess,mu,0.05815041282647928
average,mu,0.06783285493921887
rejection,phi,0.10472638544887984
sabc_4d,phi,0.10120438758662963
sabc_1d,phi,0.09694361280159837
loclin,phi,0.022196105336797785
neuralnet,phi,0.02248140268683872
lm,phi,0.041711056333870344
rf,phi,0.0660055179493739
rfboot,phi,0.06192251155672464
loess,phi,0.029133832332273905
average,phi,0.16142256277921802
