method,parameter,value
rejection,sigma,0.017311124528372968
sabc_4d,sigma,0.01471804003541072
sabc_1d,sigma,0.015326148400331238
neuralnet,sigma,0.00998458865068812
lm,sigma,0.01301265542381706
rf,sigma,0.01325509452161934
rfboot,sigma,0.012764364154960439
loess,sigma,0.008926832522132232
average,sigma,0.022457550709417812
rejection,beta,0.08087825129708807
sabc_4d,beta,0.0742064027584355
sabc_1d,beta,0.07317932243691858
neuralnet,beta,0.03252522649232616
lm,beta,0.007398788834586476
rf,beta,0.03698450363292829
rfboot,beta,0.022167700587138784
loess,beta,0.0026740878124665683
average,beta,0.1206208145922775
rejection,delta,0.0046624827101199515
sabc_4d,delta,0.0035922722481770667
sabc_1d,delta,0.004342745820014302
neuralnet,delta,0.00183771686739421
lm,delta,0.004387850666101944
rf,delta,0.004639462477634659
rfboot,delta,0.005441184998959614
loess,delta,0.001631370060599356
average,delta,0.005624459677585622
rejection,eta,0.375307904349643
sabc_4d,eta,0.28316188076806803
sabc_1d,eta,0.30139718468747595
neuralnet,eta,0.08216623133357547
lm,eta,0.22013795969642683
rf,eta,0.36986036783986603
rfboot,eta,0.3098980300234874
loess,eta,0.0838540241671351
average,eta,0.4480007450127575
rejection,mu,0.05629203229441061
sabc_4d,mu,0.042127451155261245
sabc_1d,mu,0.042106424267299866
neuralnet,mu,0.01152093140666096
lm,mu,0.024895113142823715
rf,mu,0.05604626636262463
rfboot,mu,0.06524652129183743
loess,mu,0.016858528900339946
average,mu,0.06773832339487158
rejection,phi,0.11209042200941687
sabc_4d,phi,0.10218351020948893
sabc_1d,phi,0.09941376872627933
neuralnet,phi,0.048317648589873675
lm,phi,0.026593491147253286
rf,phi,0.06611784705732383
rfboot,phi,0.052142849844146945
loess,phi,0.012163324463794355
average,phi,0.16353070460508498
