method,parameter,value
rejection,param_1,0.15533830587999994
sabc_4d,param_1,0.13943986017999996
sabc_1d,param_1,0.14120262241999995
loclin,param_1,0.11809905957734923
neuralnet,param_1,0.14697310773633884
lm,param_1,0.14133356648611362
rf,param_1,0.11214924685999998
rfboot,param_1,0.15261523784110312
loess,param_1,0.1275652017650837
average,param_1,0.21357882384296456
rejection,param_2,0.6946980927599996
sabc_4d,param_2,0.6614265324799997
sabc_1d,param_2,0.6865686735199997
loclin,param_2,0.5882517924085974
neuralnet,param_2,0.6698288230749382
lm,param_2,0.7030402527156505
rf,param_2,0.5518986094999999
rfboot,param_2,0.8080059703418148
loess,param_2,0.675254846088672
average,param_2,1.1098380338661102
rejection,param_3,0.7837542913199997
sabc_4d,param_3,0.7295926698599998
sabc_1d,param_3,0.7480292362799998
loclin,param_3,0.624478119905699
neuralnet,param_3,0.7403076864447211
lm,param_3,0.823618873405056
rf,param_3,0.59346102126
rfboot,param_3,0.9319678568634353
loess,param_3,0.7827539709135876
average,param_3,1.1383478980400934
rejection,param_4,0.21123560031999997
sabc_4d,param_4,0.20229482219999997
sabc_1d,param_4,0.20132792245999995
loclin,param_4,0.16880033581464615
neuralnet,param_4,0.2023133511190876
lm,param_4,0.18847964755334967
rf,param_4,0.1607777939
rfboot,param_4,0.23605531102083566
loess,param_4,0.18969759401943395
average,param_4,0.2830106181113838
