method,parameter,value
rejection,a,0.4664809463970886
sabc_4d,a,0.4745216472484905
sabc_1d,a,0.48423592350171885
loclin,a,0.336950805447405
neuralnet,a,0.34271071901560446
lm,a,0.4295713142903542
rf,a,0.3147881802948028
loess,a,0.21666253726060744
rfboot,a,0.4132430910477008
average,a,1.1350083663421424
rejection,b,0.6575275914840736
sabc_4d,b,0.587647607175347
sabc_1d,b,0.6001082569415844
loclin,b,0.501442976741333
neuralnet,b,0.5088297087908258
lm,b,0.5920794082281263
rf,b,0.4682746729031775
loess,b,0.327891902271384
rfboot,b,0.6058951233364577
average,b,1.1267594010556152
