method,parameter,value
rejection,a,0.4563642383848781
sabc_4d,a,0.45773515152225736
sabc_1d,a,0.4604332832204457
loclin,a,0.3406314977191985
neuralnet,a,0.33746344262346395
lm,a,0.438358439862367
rf,a,0.34153547704694787
rfboot,a,0.42435342821675004
loess,a,0.3840006779142676
average,a,1.130095847561155
rejection,b,0.6518069458898202
sabc_4d,b,0.5687148407976236
sabc_1d,b,0.5862432314622961
loclin,b,0.5124962746360795
neuralnet,b,0.4997074986408843
lm,b,0.6182701084084021
rf,b,0.509008968678736
rfboot,b,0.6369210400840867
loess,b,0.5910825515621092
average,b,1.1202848108148147
