method,parameter,value
rejection,I,0.9089586757679515
sabc_4d,I,1.0176945498449124
sabc_1d,I,0.9127774501997187
loclin,I,0.27146503180601056
neuralnet,I,0.249627549301786
lm,I,0.64551384713579
rf,I,0.3733127597370603
rfboot,I,0.30017203005120713
loess,I,0.2245341559398941
average,I,2.259298372608033
rejection,h,111.78199312233033
sabc_4d,h,95.30653935805591
sabc_1d,h,98.30402285898018
loclin,h,93.04136030798558
neuralnet,h,91.363333716808
lm,h,111.89353685580748
rf,h,89.00804895806073
rfboot,h,119.63147418050426
loess,h,80.81444290871629
average,h,169.09318094106425
rejection,A,2.507678225363457
sabc_4d,A,2.566417043154008
sabc_1d,A,3.154604880678187
loclin,A,1.0904784488499546
neuralnet,A,1.0013478166583774
lm,A,4.543700115515912
rf,A,1.5386420526734679
rfboot,A,3.3317669809379833
loess,A,0.8358819445944498
average,A,5.498652964107648
rejection,sigma,23.069293514771445
sabc_4d,sigma,22.948781143958144
sabc_1d,sigma,22.9384195744754
loclin,sigma,23.94915831692407
neuralnet,sigma,22.743875402494233
lm,sigma,22.97939450668222
rf,sigma,21.994221077651986
rfboot,sigma,26.878456181205788
loess,sigma,18.225496801298902
average,sigma,27.576111433265595
