method,parameter,value
rejection,I,0.889054166100621
sabc_4d,I,1.0192461570355666
sabc_1d,I,0.8527160044091473
loclin,I,0.2693507129731716
neuralnet,I,0.25169694518437735
lm,I,0.6373236563307342
rf,I,0.4964678992072771
rfboot,I,0.3369764346016518
loess,I,0.3768004731691427
average,I,2.2397591299422634
rejection,h,107.84855887171904
sabc_4d,h,91.20128030042234
sabc_1d,h,93.97966828279104
loclin,h,98.29305994274715
neuralnet,h,86.40579650289055
lm,h,111.39112462842549
rf,h,89.11819118398124
rfboot,h,120.67653032811954
loess,h,111.03797289905266
average,h,169.6041658564311
rejection,A,2.4920193797154173
sabc_4d,A,2.353278784357504
sabc_1d,A,3.0008764308293934
loclin,A,1.545412329216774
neuralnet,A,1.0234443185533872
lm,A,4.652512499616784
rf,A,1.8900467589414591
rfboot,A,3.6109842645620707
loess,A,3.139761207020253
average,A,5.47940760493793
rejection,sigma,22.764752754088697
sabc_4d,sigma,22.25881440546969
sabc_1d,sigma,22.371032784768513
loclin,sigma,24.834484191072068
neuralnet,sigma,19.87176821166156
lm,sigma,23.207453119089475
rf,sigma,21.670413837702977
rfboot,sigma,26.756712268858898
loess,sigma,23.676202494872896
average,sigma,27.565542421762686
